time,length,frequency,pan,gain,voice,event
0.0,3.645,0.0,0.1785714285714286,0.0,62,0
0.0,0.27,0.7097611009887241,0.5,0.025000000000000022,29,0
0.0,9.72,0.7871276149875885,0.5,0.03125,34,0
0.0,0.27,0.7385246559113301,0.5,0.008333333333333304,1,0
0.0,3.645,0.0,0.47857142857142854,0.0,58,0
0.0,0.27,0.8282779720486738,0.0,0.0024999999999999467,22,0
0.0,0.27,0.7535021517967595,0.0,0.0050000000000000044,28,0
0.0,3.645,0.0,0.47857142857142854,0.0,57,0
0.0,0.27,0.7845369212406383,1.0,0.015000000000000013,25,0
0.0,3.645,0.0,0.26190476190476186,0.0,56,0
0.0,3.645,0.0,0.26190476190476186,0.0,55,0
0.0,3.645,0.0,0.37857142857142856,0.0,63,0
0.0,0.27,0.8087291572833097,0.5,0.010000000000000009,24,0
0.0,3.645,0.0,0.4910714285714286,0.0,54,0
0.0,0.27,0.6904514852239225,0.5,0.033333333333333326,8,0
0.0,0.27,0.5164684096768599,0.5,0.16666666666666663,16,0
0.0,9.72,0.7701317275200017,0.5,0.0625,44,0
0.0,9.72,0.777094059606542,0.6041666666666666,0.0625,43,0
0.0,3.645,0.0,0.6785714285714286,0.0,59,0
0.0,0.27,0.6904514852239225,0.5,0.033333333333333326,7,0
0.0,0.27,0.7097611009887241,0.0,0.008333333333333304,6,0
0.0,0.27,0.5912442299287742,0.5,0.08333333333333337,14,0
0.0,3.645,0.0,0.3285714285714285,0.0,69,0
0.0,0.27,0.8282779720486738,0.0,0.0024999999999999467,21,0
0.0,3.645,0.0,0.3285714285714285,0.0,70,0
0.0,3.645,0.0,0.6785714285714286,0.0,60,0
0.0,3.645,0.0,0.37857142857142856,0.0,64,0
0.0,3.645,0.0,0.5952380952380952,0.0,50,0
0.0,3.645,0.0,0.1785714285714286,0.0,61,0
0.0,3.645,0.0,0.4910714285714286,0.0,53,0
0.0,0.27,0.6349852807368097,0.0,0.01666666666666672,12,0
0.0,3.645,0.0,0.26190476190476186,0.0,65,0
0.0,3.645,0.0,0.26190476190476186,0.0,66,0
0.0,0.27,0.8087291572833097,0.5,0.010000000000000009,23,0
0.0,0.27,0.7097611009887241,0.0,0.008333333333333304,5,0
0.0,0.648,0.5602094604848955,0.0,0.09999999999999998,74,0
0.0,0.27,0.5912442299287742,0.5,0.08333333333333337,13,0
0.0,0.27,0.6349852807368097,0.5,0.050000000000000044,32,0
0.0,0.27,0.6349852807368097,0.5,0.050000000000000044,31,0
0.0,0.27,0.7097611009887241,0.5,0.025000000000000022,30,0
0.0,0.27,0.8585609704707702,0.5,0.0024999999999999467,18,0
0.0,29.16,0.5164684096768599,0.5,0.09999999999999998,0,0
0.0,0.648,0.4416925894249457,0.44999999999999996,1.0,76,0
0.0,0.648,0.6349852807368097,0.0,0.050000000000000044,71,0
0.0,0.648,0.6160334719502911,0.5,0.19999999999999996,72,0
0.0,3.645,0.0,0.3660714285714286,0.0,52,0
0.0,0.27,0.6349852807368097,0.0,0.01666666666666672,11,0
0.0,0.27,0.8451640965374283,1.0,0.0024999999999999467,19,0
0.0,3.645,0.0,0.3660714285714286,0.0,51,0
0.0,0.27,0.7385246559113301,0.5,0.008333333333333304,2,0
0.0,9.72,0.7867613032432439,0.6041666666666666,0.03125,42,0
0.0,9.72,0.8011664969638805,0.5,0.02083333333333337,41,0
0.0,0.27,0.6660200501806885,1.0,0.050000000000000044,10,0
0.0,9.72,0.7704736571408263,0.5,0.0625,40,0
0.0,0.648,0.5164684096768599,0.55,0.5,75,0
0.0,9.72,0.7774146503478476,0.6041666666666666,0.0625,39,0
